times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_0,10.9349,9.00843,8.90813,8.91035,11.579,21.3174,10.9344,,times_0,0.0111111,0.0185185,0.0037037,0.0185185,0.0185185,0.0185185,0.0185185
times_50,5.23537,3.73781,3.93751,3.30447,3.41192,20.1844,1.69862,,times_50,0.0333333,0.0703704,0.0222222,0.544444,0.5,0.0037037,0.503704
times_100,4.08571,2.43147,2.84481,2.42815,4.25081,18.8137,1.16098,,times_100,0.0407407,0.137037,0.0296296,0.822222,0.785185,0.0111111,0.692593
times_150,3.38901,1.80885,2.23567,1.87656,3.67439,16.808,0.952815,,times_150,0.0444444,0.22963,0.0518519,0.892593,0.859259,0.0111111,0.711111
times_200,2.90758,1.45898,1.83368,1.4844,2.70253,12.8482,0.837716,,times_200,0.0666667,0.314815,0.0740741,0.933333,0.907407,0.0111111,0.72963
times_250,2.54914,1.21891,1.56227,1.15465,2.03929,9.10453,0.761857,,times_250,0.0851852,0.355556,0.0962963,0.92963,0.92963,0.0111111,0.748148
times_300,2.26431,1.04868,1.35416,0.802145,1.64412,6.38629,0.706905,,times_300,0.122222,0.422222,0.174074,0.922222,0.933333,0.0037037,0.755556
times_350,2.037,0.924809,1.17564,0.300055,1.30307,5.22202,0.664723,,times_350,0.159259,0.507407,0.214815,0.903704,0.944444,0.0111111,0.759259
times_400,1.84787,0.829718,1.01257,0.198367,0.884793,4.73203,0.632619,,times_400,0.203704,0.551852,0.281481,0.859259,0.948148,0.0185185,0.766667
times_450,1.68855,0.754002,0.857617,0.170365,0.166498,4.3501,0.607586,,times_450,0.259259,0.596296,0.340741,0.848148,0.840741,0.0222222,0.766667
times_500,1.55231,0.692113,0.706081,0.149178,0.137284,4.01903,0.587289,,times_500,0.292593,0.62963,0.418519,0.859259,0.837037,0.0259259,0.774074
times_550,1.4347,0.640455,0.559044,0.132012,0.117594,3.72765,0.570603,,times_550,0.311111,0.640741,0.511111,0.866667,0.844444,0.0296296,0.777778
times_600,1.33252,0.596546,0.437234,0.117809,0.1025,3.46618,0.556729,,times_600,0.340741,0.648148,0.644444,0.874074,0.833333,0.0333333,0.788889
times_650,1.24239,0.558618,0.367967,0.105877,0.0903745,3.22637,0.545076,,times_650,0.385185,0.67037,0.733333,0.874074,0.837037,0.037037,0.792593
times_700,1.16132,0.525392,0.33497,0.0957329,0.0803687,3.00305,0.535205,,times_700,0.425926,0.692593,0.77037,0.874074,0.848148,0.0407407,0.796296
times_750,1.087,0.495937,0.310837,0.0870245,0.0719898,2.79339,0.526778,,times_750,0.459259,0.692593,0.788889,0.877778,0.848148,0.0481481,0.8
times_800,1.0183,0.469561,0.289755,0.0794909,0.06493,2.59652,0.519533,,times_800,0.477778,0.703704,0.8,0.881481,0.848148,0.0666667,0.8
times_850,0.956142,0.44575,0.271033,0.072932,0.0589232,2.41192,0.513259,,times_850,0.485185,0.718518,0.807407,0.888889,0.859259,0.0740741,0.8
times_900,0.902277,0.424111,0.254241,0.0671902,0.0537571,2.23835,0.507791,,times_900,0.507407,0.725926,0.822222,0.896296,0.859259,0.0962963,0.8
times_950,0.856779,0.404336,0.23906,0.0621396,0.049273,2.07592,0.502993,,times_950,0.525926,0.725926,0.82963,0.9,0.862963,0.122222,0.8
times_1000,0.817721,0.386185,0.225251,0.0576774,0.0453507,1.92703,0.49876,,times_1000,0.551852,0.737037,0.837037,0.9,0.862963,0.151852,0.807407
times_1050,0.783163,0.369459,0.212629,0.0537183,0.0418972,1.79293,0.495007,,times_1050,0.577778,0.737037,0.840741,0.903704,0.862963,0.159259,0.811111
times_1100,0.751969,0.353995,0.201048,0.0501906,0.0388394,1.67227,0.491661,,times_1100,0.592593,0.737037,0.840741,0.907407,0.862963,0.185185,0.811111
times_1150,0.723488,0.339651,0.190388,0.0470337,0.0361191,1.56312,0.488669,,times_1150,0.6,0.748148,0.851852,0.907407,0.866667,0.207407,0.811111
times_1200,0.697292,0.326302,0.180551,0.044197,0.0336891,1.46419,0.48598,,times_1200,0.62963,0.751852,0.859259,0.907407,0.866667,0.22963,0.818519
times_1250,0.673068,0.313842,0.17145,0.0416377,0.0315103,1.37432,0.483555,,times_1250,0.637037,0.762963,0.866667,0.907407,0.866667,0.281481,0.818519
times_1300,0.650572,0.302176,0.163013,0.0393197,0.0295502,1.29258,0.481361,,times_1300,0.637037,0.77037,0.87037,0.911111,0.866667,0.307407,0.818519
times_1350,0.629602,0.291225,0.155177,0.0372126,0.0277811,1.21829,0.479369,,times_1350,0.644444,0.774074,0.87037,0.911111,0.866667,0.333333,0.818519
times_1400,0.609992,0.280922,0.147886,0.0352908,0.0261797,1.15077,0.477555,,times_1400,0.659259,0.774074,0.87037,0.911111,0.866667,0.344444,0.818519
times_1450,0.591597,0.271208,0.14109,0.0335323,0.0247257,1.08916,0.475897,,times_1450,0.67037,0.774074,0.874074,0.911111,0.87037,0.385185,0.818519
times_1500,0.574293,0.262034,0.134745,0.0319184,0.0234019,1.03267,0.474378,,times_1500,0.674074,0.77037,0.877778,0.914815,0.87037,0.418519,0.818519
times_1550,0.557973,0.253356,0.128814,0.030433,0.0221932,0.980698,0.472981,,times_1550,0.677778,0.77037,0.877778,0.918519,0.87037,0.422222,0.818519
times_1600,0.542543,0.245133,0.123262,0.0290623,0.0210866,0.932673,0.471695,,times_1600,0.681481,0.777778,0.877778,0.922222,0.87037,0.433333,0.818519
times_1650,0.527922,0.237333,0.118056,0.0277942,0.0200709,0.888137,0.470506,,times_1650,0.692593,0.777778,0.877778,0.922222,0.87037,0.440741,0.818519
times_1700,0.514037,0.229922,0.113171,0.0266183,0.0191363,0.846726,0.469405,,times_1700,0.692593,0.777778,0.885185,0.922222,0.87037,0.477778,0.818519
times_1750,0.500824,0.222871,0.108582,0.0255256,0.0182742,0.808143,0.468382,,times_1750,0.703704,0.781482,0.892593,0.922222,0.87037,0.481481,0.818519
times_1800,0.488229,0.216156,0.104265,0.024508,0.0174772,0.77211,0.467431,,times_1800,0.703704,0.785185,0.892593,0.922222,0.87037,0.496296,0.818519
times_1850,0.476201,0.209752,0.100201,0.0235586,0.0167387,0.738335,0.466545,,times_1850,0.707407,0.785185,0.896296,0.922222,0.87037,0.507407,0.818519
times_1900,0.464697,0.203637,0.0963717,0.0226711,0.0160529,0.706531,0.465717,,times_1900,0.711111,0.785185,0.896296,0.922222,0.87037,0.533333,0.818519
times_1950,0.453676,0.197792,0.0927603,0.0218401,0.0154148,0.676522,0.464942,,times_1950,0.714815,0.785185,0.896296,0.922222,0.87037,0.551852,0.822222
times_2000,0.443106,0.192199,0.0893514,0.0210607,0.0148198,0.648254,0.464216,,times_2000,0.722222,0.785185,0.896296,0.922222,0.874074,0.566667,0.822222
times_2050,0.432955,0.186842,0.0861312,0.0203285,0.014264,0.621644,0.463533,,times_2050,0.725926,0.785185,0.896296,0.922222,0.874074,0.596296,0.822222
times_2100,0.423194,0.181705,0.0830866,0.0196397,0.013744,0.596564,0.462892,,times_2100,0.72963,0.788889,0.896296,0.925926,0.874074,0.603704,0.822222
times_2150,0.413799,0.176776,0.0802056,0.0189907,0.0132564,0.572875,0.462287,,times_2150,0.733333,0.788889,0.9,0.925926,0.874074,0.607407,0.825926
times_2200,0.404747,0.172042,0.0774772,0.0183785,0.0127986,0.550438,0.461717,,times_2200,0.740741,0.788889,0.9,0.92963,0.877778,0.607407,0.825926
times_2250,0.396019,0.167491,0.0748911,0.0178001,0.0123681,0.529128,0.461179,,times_2250,0.740741,0.792593,0.9,0.92963,0.877778,0.614815,0.833333
times_2300,0.387596,0.163114,0.0724381,0.0172531,0.0119626,0.508834,0.460669,,times_2300,0.744444,0.792593,0.9,0.92963,0.877778,0.622222,0.833333
times_2350,0.379461,0.158902,0.0701091,0.0167351,0.0115801,0.489466,0.460186,,times_2350,0.759259,0.792593,0.903704,0.92963,0.881481,0.625926,0.833333
times_2400,0.3716,0.154845,0.0678962,0.0162439,0.0112188,0.470948,0.459729,,times_2400,0.759259,0.792593,0.903704,0.92963,0.881481,0.651852,0.837037
times_2450,0.363999,0.150935,0.0657919,0.0157778,0.010877,0.453227,0.459295,,times_2450,0.762963,0.788889,0.903704,0.92963,0.885185,0.659259,0.837037
times_2500,0.356644,0.147167,0.0637892,0.0153348,0.0105534,0.436266,0.458883,,times_2500,0.762963,0.792593,0.903704,0.92963,0.885185,0.662963,0.837037
times_2550,0.349525,0.143532,0.0618816,0.0149135,0.0102466,0.420029,0.45849,,times_2550,0.77037,0.792593,0.903704,0.92963,0.885185,0.666667,0.837037
