times,cross,test-accuracy,train-accuracy
0,3.94884,0.0222222,0.055
5,3.82712,0.0185185,0.4
10,3.33994,0.0185185,0.41
15,3.36152,0.0185185,0.565
20,3.28354,0.0185185,0.34
25,2.11367,0.0185185,0.635
30,3.04517,0.0185185,0.4
35,2.37541,0.0185185,0.575
40,2.94194,0.0185185,0.435
45,2.89168,0.0185185,0.44
50,2.276,0.0185185,0.605
55,3.36942,0.0185185,0.305
60,2.16144,0.0185185,0.615
65,2.86255,0.0185185,0.44
70,2.43163,0.0185185,0.545
75,2.35132,0.0185185,0.57
80,2.96076,0.0185185,0.41
85,2.23557,0.0185185,0.59
90,3.0424,0.0185185,0.4
95,2.44388,0.0185185,0.56
100,2.82844,0.0185185,0.47
105,2.80778,0.0185185,0.45
110,2.28917,0.0185185,0.57
115,3.12915,0.0185185,0.345
120,1.95495,0.0185185,0.63
125,2.74062,0.0185185,0.455
130,2.43825,0.0185185,0.5
135,2.36854,0.0185185,0.495
140,2.62511,0.0185185,0.44
145,1.65374,0.0185185,0.64
150,2.75572,0.0185185,0.395
155,1.77582,0.0185185,0.6
160,2.6933,0.0222222,0.425
165,2.02609,0.0185185,0.545
170,1.76749,0.0185185,0.6
175,2.66484,0.0222222,0.37
180,1.42397,0.0185185,0.675
185,2.49808,0.0222222,0.385
190,1.95345,0.0222222,0.545
195,2.13546,0.0185185,0.495
200,2.25948,0.1,0.52
205,1.4875,0.0407407,0.65
210,2.52355,0.0185185,0.385
215,1.76687,0.037037,0.59
220,2.22427,0.0740741,0.495
225,2.18978,0.0407407,0.49
230,1.85806,0.0222222,0.55
235,2.16039,0.118519,0.5
240,1.44344,0.0444444,0.645
245,2.22117,0.0592593,0.46
250,1.70371,0.0814815,0.62
255,1.8299,0.103704,0.61
260,1.81713,0.111111,0.6
265,1.69282,0.037037,0.57
270,2.43901,0.17037,0.465
275,1.2418,0.118519,0.72
280,2.18592,0.133333,0.49
285,1.52553,0.155556,0.685
290,1.79982,0.237037,0.635
295,1.9371,0.211111,0.6
300,1.17601,0.192593,0.76
305,1.89066,0.22963,0.625
310,1.44162,0.292593,0.755
315,1.81546,0.281481,0.68
320,1.6221,0.2,0.655
325,1.42629,0.240741,0.7
330,1.93548,0.355556,0.665
335,1.12264,0.274074,0.77
340,1.61436,0.337037,0.66
345,1.45748,0.477778,0.775
350,1.37124,0.344444,0.72
355,1.57219,0.396296,0.72
360,1.11463,0.277778,0.775
365,1.75249,0.422222,0.715
370,1.23716,0.255556,0.72
375,1.66912,0.437037,0.71
380,1.28459,0.37037,0.755
385,1.19941,0.437037,0.785
390,1.9515,0.111111,0.49
395,0.882746,0.403704,0.845
400,1.49258,0.507407,0.775
405,1.12625,0.492593,0.83
410,1.2547,0.47037,0.78
415,1.21569,0.611111,0.87
420,0.976796,0.588889,0.88
425,1.82057,0.118519,0.46
430,0.847386,0.485185,0.875
435,1.24803,0.592593,0.84
440,1.12706,0.555556,0.85
445,1.03986,0.674074,0.885
450,1.32143,0.6,0.825
455,0.744541,0.592593,0.91
460,1.53146,0.485185,0.725
465,0.809572,0.592593,0.915
470,1.20282,0.407407,0.765
475,1.00584,0.651852,0.845
480,0.84169,0.7,0.93
485,1.00474,0.781482,0.905
490,0.692612,0.574074,0.85
495,1.15884,0.433333,0.775
500,0.70165,0.725926,0.93
505,0.800093,0.659259,0.905
510,0.922586,0.762963,0.945
515,0.620011,0.774074,0.94
520,0.848708,0.848148,0.975
525,0.46811,0.718518,0.965
530,1.25577,0.396296,0.64
535,0.580403,0.82963,0.97
540,0.518955,0.759259,0.945
545,0.78697,0.77037,0.915
550,0.351588,0.825926,0.97
555,0.568835,0.811111,0.96
560,0.556167,0.844444,0.955
565,0.549055,0.774074,0.96
570,0.885426,0.518519,0.78
575,0.408761,0.851852,0.955
580,1.0822,0.733333,0.885
585,0.535746,0.851852,0.935
590,0.642651,0.844444,0.93
595,0.478154,0.851852,0.95
600,0.497408,0.788889,0.955
605,0.58686,0.825926,0.945
610,0.379206,0.82963,0.965
615,0.684687,0.848148,0.97
620,0.347983,0.788889,0.96
625,0.451999,0.862963,0.96
630,0.391286,0.896296,0.96
635,0.361318,0.874074,0.97
640,0.560843,0.748148,0.925
645,0.349871,0.737037,0.95
650,0.494821,0.903704,0.935
655,0.376187,0.82963,0.96
660,0.354177,0.837037,0.98
665,0.492758,0.840741,0.955
670,0.313336,0.874074,0.96
675,0.522807,0.848148,0.955
680,0.733983,0.318519,0.76
685,0.482078,0.862963,0.955
690,0.364935,0.907407,0.97
695,0.375359,0.833333,0.945
700,0.513043,0.822222,0.94
705,0.286211,0.796296,0.97
710,0.488425,0.840741,0.915
715,0.303581,0.888889,0.98
720,0.444029,0.866667,0.95
725,0.339075,0.892593,0.975
730,0.290178,0.855556,0.98
735,0.519334,0.911111,0.93
740,0.261796,0.759259,0.97
745,0.484114,0.822222,0.955
750,0.392411,0.796296,0.96
755,0.351432,0.851852,0.975
760,0.397786,0.874074,0.955
765,0.27227,0.840741,0.975
770,0.470464,0.866667,0.96
775,0.347187,0.82963,0.96
780,0.425623,0.866667,0.945
785,0.515865,0.807407,0.92
790,0.353357,0.885185,0.975
795,0.400858,0.918519,0.97
800,0.360507,0.648148,0.92
805,0.463623,0.874074,0.96
810,0.368393,0.748148,0.95
815,0.313083,0.888889,0.95
820,0.379141,0.848148,0.965
825,0.323874,0.777778,0.935
830,0.471349,0.82963,0.945
835,0.23911,0.866667,0.985
840,0.416456,0.840741,0.945
845,0.314705,0.888889,0.97
850,0.35009,0.785185,0.955
855,0.301853,0.907407,0.98
860,0.296103,0.844444,0.975
865,0.418433,0.862963,0.945
870,0.338471,0.807407,0.945
875,0.368377,0.8,0.94
880,0.353788,0.87037,0.97
885,0.319339,0.833333,0.96
890,0.648916,0.551852,0.84
895,0.294404,0.837037,0.96
900,0.397497,0.907407,0.95
905,0.378421,0.740741,0.94
910,0.294972,0.851852,0.985
915,0.347336,0.874074,0.97
920,0.271789,0.851852,0.975
925,0.459462,0.885185,0.955
930,0.357224,0.677778,0.935
935,0.334042,0.855556,0.965
940,0.533419,0.640741,0.875
945,0.318976,0.859259,0.945
950,0.337535,0.862963,0.965
955,0.270643,0.803704,0.965
960,0.464357,0.859259,0.93
965,0.330878,0.807407,0.94
970,0.201483,0.9,0.995
975,0.61363,0.559259,0.81
980,0.331947,0.862963,0.95
985,0.405801,0.851852,0.94
990,0.317655,0.740741,0.93
995,0.329388,0.866667,0.955
1000,0.454753,0.755556,0.9
1005,0.35024,0.82963,0.945
1010,0.341393,0.818519,0.95
1015,0.275618,0.774074,0.955
1020,0.432336,0.855556,0.94
1025,0.332519,0.844444,0.93
1030,0.398879,0.844444,0.95
1035,0.320351,0.881481,0.955
1040,0.315513,0.785185,0.96
1045,0.495692,0.751852,0.925
1050,0.289505,0.807407,0.945
1055,0.444839,0.844444,0.93
1060,0.357989,0.814815,0.95
1065,0.27853,0.855556,0.97
1070,0.429014,0.825926,0.935
1075,0.217109,0.866667,0.975
1080,0.356413,0.877778,0.96
1085,0.272596,0.740741,0.935
1090,0.390094,0.859259,0.96
1095,0.338321,0.811111,0.95
1100,0.24963,0.896296,0.955
1105,0.629332,0.562963,0.845
1110,0.224184,0.814815,0.985
1115,0.494352,0.762963,0.92
1120,0.276999,0.788889,0.96
1125,0.380964,0.814815,0.95
1130,0.369823,0.818519,0.96
1135,0.211884,0.855556,0.98
1140,0.37908,0.814815,0.965
1145,0.224292,0.855556,0.97
1150,0.40475,0.859259,0.94
1155,0.320829,0.82963,0.94
1160,0.47475,0.733333,0.925
1165,0.435439,0.818519,0.925
1170,0.383096,0.733333,0.91
1175,0.399458,0.866667,0.925
1180,0.344298,0.733333,0.925
1185,0.36054,0.792593,0.925
1190,0.313746,0.833333,0.945
1195,0.3879,0.722222,0.885
1200,0.388255,0.814815,0.96
1205,0.26147,0.681481,0.93
1210,0.515111,0.785185,0.87
1215,0.355957,0.777778,0.945
1220,0.448407,0.755556,0.925
1225,0.436905,0.766667,0.915
1230,0.410008,0.751852,0.905
1235,0.336832,0.903704,0.975
1240,0.289994,0.755556,0.94
1245,0.404489,0.859259,0.945
1250,0.458136,0.766667,0.895
1255,0.296823,0.844444,0.975
1260,0.476276,0.659259,0.89
1265,0.268559,0.737037,0.94
1270,0.414222,0.811111,0.915
1275,0.479191,0.674074,0.89
1280,0.540882,0.722222,0.855
1285,0.395739,0.777778,0.915
1290,0.297216,0.714815,0.935
1295,0.792479,0.581481,0.76
1300,0.339007,0.714815,0.935
1305,0.482793,0.740741,0.855
1310,0.288975,0.718518,0.955
1315,0.539805,0.677778,0.82
1320,0.279564,0.848148,0.975
1325,0.282983,0.837037,0.935
1330,0.426426,0.774074,0.945
1335,0.308374,0.703704,0.93
1340,0.426569,0.722222,0.915
1345,0.439067,0.751852,0.885
1350,0.318544,0.788889,0.945
1355,0.309679,0.837037,0.95
1360,0.296056,0.725926,0.935
1365,0.511451,0.685185,0.88
1370,0.494038,0.614815,0.86
1375,0.317171,0.796296,0.945
1380,0.430434,0.666667,0.88
1385,0.417453,0.651852,0.87
1390,0.472148,0.718518,0.89
1395,0.352084,0.696296,0.9
1400,0.580527,0.737037,0.88
1405,0.525708,0.644444,0.835
1410,0.489245,0.655556,0.865
1415,0.349001,0.811111,0.965
1420,0.318967,0.703704,0.91
1425,0.632115,0.692593,0.845
1430,0.615774,0.537037,0.79
1435,0.335996,0.781482,0.94
1440,0.365239,0.714815,0.925
1445,0.338489,0.759259,0.905
1450,0.393896,0.777778,0.905
1455,0.281462,0.62963,0.905
1460,0.483261,0.703704,0.885
1465,0.488875,0.614815,0.86
1470,0.381334,0.677778,0.895
1475,0.47832,0.666667,0.88
1480,0.465049,0.625926,0.87
1485,0.595672,0.688889,0.855
1490,0.464294,0.644444,0.86
1495,0.566363,0.62963,0.83
1500,0.523356,0.614815,0.85
1505,0.460753,0.707407,0.88
1510,0.417462,0.740741,0.925
1515,0.371671,0.62963,0.885
1520,0.395528,0.825926,0.94
1525,0.645504,0.481481,0.775
1530,0.495237,0.685185,0.875
1535,0.724187,0.492593,0.755
1540,0.382345,0.714815,0.905
1545,0.542779,0.72963,0.88
1550,0.331709,0.7,0.93
1555,0.357181,0.785185,0.955
1560,0.405979,0.651852,0.86
1565,0.366607,0.659259,0.905
1570,0.596282,0.577778,0.805
1575,0.410668,0.674074,0.9
1580,0.630487,0.651852,0.825
1585,0.45458,0.674074,0.865
1590,0.646974,0.67037,0.815
1595,0.420953,0.722222,0.9
1600,0.435843,0.655556,0.895
1605,0.633249,0.577778,0.785
1610,0.439557,0.551852,0.83
1615,0.538008,0.781482,0.885
1620,0.426499,0.662963,0.885
1625,0.291299,0.837037,0.93
1630,0.54965,0.596296,0.84
1635,0.351609,0.740741,0.9
1640,0.575524,0.722222,0.825
1645,0.417189,0.585185,0.86
1650,0.557327,0.648148,0.805
1655,0.330263,0.740741,0.92
1660,0.48085,0.685185,0.885
1665,0.425794,0.72963,0.9
1670,0.426121,0.559259,0.86
1675,0.589825,0.637037,0.78
1680,0.435303,0.562963,0.87
1685,0.607578,0.614815,0.805
1690,0.463558,0.674074,0.865
1695,0.650137,0.537037,0.795
1700,0.638078,0.703704,0.825
1705,0.525198,0.514815,0.81
1710,0.494658,0.718518,0.86
1715,0.353342,0.762963,0.89
1720,0.612545,0.603704,0.8
1725,0.604393,0.574074,0.795
1730,0.698514,0.47037,0.775
1735,0.612318,0.677778,0.805
1740,0.364324,0.588889,0.89
1745,0.477752,0.7,0.88
1750,0.57415,0.574074,0.805
1755,0.37021,0.614815,0.895
1760,0.71176,0.592593,0.745
1765,0.333286,0.640741,0.915
1770,0.997264,0.437037,0.655
1775,0.471336,0.566667,0.84
1780,0.606452,0.592593,0.785
1785,0.606988,0.603704,0.81
1790,0.657669,0.562963,0.795
1795,0.610755,0.648148,0.84
1800,0.611031,0.522222,0.845
1805,0.574894,0.666667,0.825
1810,0.43796,0.659259,0.865
1815,0.658415,0.57037,0.77
1820,0.595933,0.555556,0.78
1825,0.472897,0.544444,0.82
1830,0.519005,0.7,0.855
1835,0.504419,0.562963,0.835
1840,0.666291,0.614815,0.775
1845,0.485384,0.555556,0.835
1850,0.46357,0.611111,0.865
1855,0.705895,0.592593,0.785
1860,0.449779,0.577778,0.87
1865,0.697899,0.551852,0.755
1870,0.652082,0.574074,0.83
1875,0.521661,0.574074,0.83
1880,0.620479,0.585185,0.795
1885,0.439865,0.640741,0.845
1890,0.776515,0.574074,0.73
1895,0.557756,0.577778,0.795
1900,0.671985,0.537037,0.775
1905,0.532409,0.562963,0.85
1910,0.515056,0.614815,0.82
1915,0.579355,0.685185,0.83
1920,0.394953,0.577778,0.865
1925,0.600698,0.659259,0.8
1930,0.571072,0.492593,0.785
1935,0.75532,0.548148,0.785
1940,0.657543,0.540741,0.79
1945,0.535121,0.574074,0.82
1950,0.584148,0.637037,0.825
1955,0.537852,0.625926,0.82
1960,0.756106,0.503704,0.75
1965,0.508811,0.614815,0.825
1970,0.624199,0.562963,0.79
1975,0.686848,0.496296,0.77
1980,0.643374,0.488889,0.78
1985,0.571608,0.651852,0.835
1990,0.491407,0.637037,0.815
1995,0.699413,0.559259,0.755
