times,cross,test-accuracy,train-accuracy
0,4.02155,0.0185185,0.02
50,2.63097,0.0185185,0.66
100,3.08853,0.0185185,0.455
150,3.18036,0.0185185,0.41
200,3.12397,0.0185185,0.44
250,2.85156,0.0185185,0.575
300,2.70846,0.0185185,0.64
350,2.91549,0.0185185,0.495
400,3.14241,0.0185185,0.355
450,2.82784,0.0222222,0.485
500,2.40717,0.0481481,0.61
550,2.04977,0.0666667,0.685
600,2.29519,0.125926,0.57
650,2.61197,0.118519,0.475
700,2.63761,0.137037,0.475
750,2.10488,0.144444,0.62
800,1.8138,0.188889,0.7
850,1.83118,0.262963,0.67
900,2.32964,0.348148,0.525
950,1.98406,0.337037,0.57
1000,1.87134,0.396296,0.655
1050,1.31801,0.440741,0.815
1100,1.43171,0.548148,0.79
1150,1.49007,0.607407,0.81
1200,1.43416,0.640741,0.775
1250,1.27113,0.677778,0.82
1300,1.00481,0.725926,0.865
1350,0.97109,0.777778,0.845
1400,0.971241,0.82963,0.875
1450,0.933714,0.837037,0.91
1500,0.747592,0.862963,0.935
1550,0.716148,0.866667,0.935
1600,0.546449,0.92963,0.975
1650,0.562844,0.925926,0.955
1700,0.629581,0.940741,0.945
1750,0.468136,0.937037,0.965
1800,0.356734,0.948148,0.97
1850,0.288117,0.948148,0.985
1900,0.384734,0.951852,0.97
1950,0.382672,0.959259,0.965
2000,0.370117,0.948148,0.97
2050,0.259523,0.951852,0.98
2100,0.291557,0.962963,0.985
2150,0.306426,0.959259,0.98
2200,0.264228,0.97037,0.99
2250,0.239512,0.962963,0.99
2300,0.20002,0.959259,0.975
2350,0.182379,0.981481,0.985
2400,0.166707,0.966667,0.985
2450,0.199141,0.985185,0.97
2500,0.155349,0.977778,0.985
2550,0.177539,0.966667,0.985
2600,0.108114,0.992593,0.995
2650,0.162176,0.992593,0.975
2700,0.127837,0.992593,1.0
2750,0.14091,0.985185,0.99
2800,0.0990199,0.992593,0.99
2850,0.0969182,0.988889,0.995
2900,0.131981,0.992593,0.99
2950,0.122676,0.992593,0.99
