times,cross,test-accuracy,train-accuracy
0,3.99429,0.0185185,0.025
5,3.83659,0.0185185,0.37
10,3.64024,0.0185185,0.37
15,2.71041,0.0185185,0.54
20,3.30063,0.0185185,0.36
25,2.03126,0.0185185,0.655
30,3.12796,0.0185185,0.4
35,2.51086,0.0185185,0.56
40,2.66898,0.0185185,0.515
45,3.07569,0.0185185,0.41
50,2.33846,0.0185185,0.59
55,3.34184,0.0185185,0.335
60,2.41768,0.0185185,0.57
65,2.95588,0.0185185,0.46
70,2.8228,0.0185185,0.485
75,2.70003,0.0185185,0.495
80,3.20356,0.0185185,0.36
85,2.38164,0.0185185,0.595
90,2.89504,0.0185185,0.435
95,2.29604,0.0185185,0.59
100,2.67791,0.0185185,0.505
105,2.76728,0.0185185,0.495
110,2.02474,0.0185185,0.64
115,3.09616,0.0185185,0.38
120,2.34459,0.0185185,0.6
125,2.96262,0.0185185,0.405
130,2.62471,0.0185185,0.53
135,2.71,0.0185185,0.48
140,2.90876,0.0185185,0.42
145,2.00578,0.0185185,0.655
150,3.23002,0.0185185,0.43
155,2.03991,0.0185185,0.65
160,2.58708,0.0185185,0.505
165,3.05952,0.0185185,0.395
170,2.09349,0.0185185,0.615
175,3.14534,0.0185185,0.36
180,2.05259,0.0185185,0.625
185,2.85079,0.0185185,0.4
190,2.53876,0.0185185,0.535
195,2.65711,0.0185185,0.455
200,2.98518,0.0185185,0.4
205,2.20242,0.0185185,0.585
210,3.17105,0.0185185,0.38
215,2.33735,0.0185185,0.595
220,2.95156,0.0185185,0.435
225,2.52849,0.0185185,0.5
230,2.193,0.0185185,0.555
235,3.00612,0.0185185,0.41
240,2.01579,0.0185185,0.64
245,2.72776,0.0185185,0.415
250,2.51589,0.0185185,0.52
255,2.8334,0.0185185,0.475
260,2.48078,0.0185185,0.495
265,2.43166,0.0185185,0.575
270,3.10518,0.0185185,0.31
275,1.91542,0.0185185,0.68
280,2.73521,0.0185185,0.4
285,2.08704,0.0185185,0.575
290,2.51321,0.0185185,0.525
295,2.55952,0.0185185,0.465
300,1.69432,0.0185185,0.66
305,3.12628,0.0185185,0.355
310,2.14996,0.0185185,0.54
315,3.27624,0.0185185,0.44
320,3.03458,0.0185185,0.445
325,1.89687,0.0185185,0.59
330,2.69243,0.0185185,0.38
335,1.47692,0.0185185,0.68
340,2.68237,0.0185185,0.36
345,2.0338,0.0185185,0.615
350,2.39798,0.0185185,0.465
355,2.63025,0.0185185,0.4
360,2.00395,0.0185185,0.56
365,2.75363,0.0185185,0.365
370,1.78944,0.0185185,0.62
375,2.56264,0.0185185,0.465
380,2.23491,0.0185185,0.49
385,2.24,0.0185185,0.455
390,2.41072,0.0185185,0.42
395,1.67624,0.0185185,0.635
400,2.64485,0.0185185,0.39
405,1.70707,0.0185185,0.6
410,3.36849,0.037037,0.44
415,2.25177,0.0185185,0.46
420,1.98454,0.0296296,0.545
425,2.72097,0.0185185,0.33
430,1.42993,0.0185185,0.65
435,2.45491,0.0407407,0.41
440,2.57884,0.0185185,0.535
445,2.08289,0.0185185,0.515
