times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_0,14.592,16.2261,14.6103,16.7248,9.06246,14.9961,8.85181,,times_0,0.00740741,0.0259259,0.00740741,0.0296296,0.0111111,0.0185185,0.0
times_50,7.5277,6.12493,5.5081,4.30955,4.26363,14.5741,3.16681,,times_50,0.0259259,0.0222222,0.0111111,0.0888889,0.237037,0.0185185,0.0703704
times_100,6.7823,5.15689,4.30334,2.96753,3.0805,14.1431,1.5273,,times_100,0.0259259,0.0407407,0.0296296,0.255556,0.659259,0.0185185,0.281481
times_150,6.19757,4.49959,3.4692,2.18599,2.54871,13.7047,0.910093,,times_150,0.0222222,0.0555556,0.0777778,0.474074,0.844444,0.0185185,0.496296
times_200,5.70122,3.98313,2.85514,1.73634,2.22024,13.2638,0.690712,,times_200,0.0185185,0.062963,0.12963,0.607407,0.907407,0.0185185,0.666667
times_250,5.28349,3.53852,2.36136,1.4711,1.96494,12.8239,0.583827,,times_250,0.0222222,0.103704,0.188889,0.677778,0.940741,0.0185185,0.714815
times_300,4.92805,3.16353,1.98572,1.28613,1.74581,12.3847,0.518036,,times_300,0.0296296,0.122222,0.255556,0.72963,0.951852,0.0185185,0.751852
times_350,4.61629,2.85234,1.70186,1.13846,1.54703,11.9486,0.471846,,times_350,0.0333333,0.162963,0.314815,0.766667,0.959259,0.0185185,0.777778
times_400,4.33321,2.59167,1.48597,1.01237,1.35872,11.5163,0.436701,,times_400,0.0407407,0.211111,0.374074,0.781482,0.955556,0.0185185,0.788889
times_450,4.07123,2.37067,1.32154,0.909119,1.17188,11.091,0.408499,,times_450,0.0481481,0.233333,0.407407,0.755556,0.955556,0.0185185,0.796296
times_500,3.82723,2.18015,1.19484,0.843323,0.976064,10.6737,0.385016,,times_500,0.0518519,0.251852,0.477778,0.737037,0.951852,0.0185185,0.807407
times_550,3.5988,2.00912,1.09656,0.812562,0.747817,10.2666,0.364934,,times_550,0.062963,0.274074,0.518519,0.722222,0.944444,0.0185185,0.811111
times_600,3.38561,1.85332,1.02042,0.791248,0.407366,9.87028,0.347423,,times_600,0.0703704,0.292593,0.555556,0.72963,0.907407,0.0185185,0.818519
times_650,3.18768,1.71653,0.960848,0.772994,0.27767,9.48532,0.331928,,times_650,0.0814815,0.322222,0.596296,0.72963,0.877778,0.0222222,0.825926
times_700,2.99994,1.59858,0.913174,0.757062,0.25474,9.11317,0.318064,,times_700,0.0925926,0.344444,0.625926,0.72963,0.866667,0.0185185,0.82963
times_750,2.82179,1.49556,0.874104,0.742989,0.239233,8.75384,0.305555,,times_750,0.0962963,0.351852,0.640741,0.733333,0.862963,0.0185185,0.833333
times_800,2.65227,1.40484,0.841408,0.730432,0.227304,8.40797,0.294195,,times_800,0.107407,0.385185,0.67037,0.740741,0.851852,0.0222222,0.833333
times_850,2.49479,1.32452,0.813555,0.719132,0.21769,8.07607,0.283822,,times_850,0.114815,0.411111,0.681481,0.748148,0.848148,0.0259259,0.833333
times_900,2.34982,1.25293,0.789464,0.708886,0.209393,7.75979,0.274302,,times_900,0.140741,0.448148,0.692593,0.755556,0.848148,0.0259259,0.82963
times_950,2.21651,1.18908,0.768357,0.699537,0.202003,7.46131,0.265528,,times_950,0.162963,0.485185,0.696296,0.766667,0.848148,0.0296296,0.837037
times_1000,2.09358,1.13219,0.749655,0.690955,0.195331,7.18112,0.257404,,times_1000,0.181481,0.5,0.707407,0.77037,0.851852,0.037037,0.844444
times_1050,1.98003,1.08066,0.732922,0.683038,0.189246,6.91889,0.249854,,times_1050,0.196296,0.514815,0.718518,0.77037,0.859259,0.037037,0.844444
times_1100,1.87526,1.03213,0.717821,0.675701,0.183651,6.67394,0.242809,,times_1100,0.222222,0.537037,0.72963,0.774074,0.859259,0.037037,0.851852
times_1150,1.7788,0.980352,0.704092,0.668874,0.178471,6.44533,0.236215,,times_1150,0.237037,0.544444,0.733333,0.777778,0.859259,0.037037,0.855556
times_1200,1.69013,0.932391,0.691526,0.662497,0.173649,6.23196,0.230023,,times_1200,0.248148,0.562963,0.740741,0.781482,0.862963,0.0407407,0.855556
times_1250,1.60865,0.889423,0.679956,0.65652,0.169138,6.03264,0.224193,,times_1250,0.281481,0.566667,0.748148,0.781482,0.862963,0.0407407,0.855556
times_1300,1.53374,0.850268,0.669246,0.650904,0.164902,5.84619,0.21869,,times_1300,0.292593,0.588889,0.751852,0.788889,0.862963,0.0444444,0.855556
times_1350,1.46478,0.814124,0.659287,0.64561,0.160909,5.67149,0.213484,,times_1350,0.311111,0.603704,0.751852,0.792593,0.862963,0.0518519,0.859259
times_1400,1.40121,0.780507,0.649987,0.640608,0.157134,5.50752,0.208547,,times_1400,0.32963,0.607407,0.759259,0.792593,0.859259,0.0518519,0.862963
times_1450,1.34252,0.749113,0.64127,0.635872,0.153555,5.35335,0.203858,,times_1450,0.337037,0.622222,0.762963,0.792593,0.859259,0.0592593,0.866667
times_1500,1.28826,0.719759,0.633073,0.631377,0.150154,5.20816,0.199395,,times_1500,0.362963,0.625926,0.766667,0.796296,0.862963,0.062963,0.87037
times_1550,1.23803,0.692386,0.625342,0.627104,0.146914,5.07123,0.195141,,times_1550,0.374074,0.640741,0.774074,0.8,0.866667,0.0666667,0.87037
times_1600,1.19146,0.667034,0.618029,0.623034,0.143823,4.94191,0.191079,,times_1600,0.374074,0.651852,0.774074,0.8,0.866667,0.0740741,0.87037
times_1650,1.14825,0.643724,0.611096,0.619152,0.140868,4.8196,0.187196,,times_1650,0.388889,0.662963,0.777778,0.803704,0.87037,0.0740741,0.87037
times_1700,1.1081,0.622468,0.604507,0.615442,0.138039,4.70372,0.183478,,times_1700,0.403704,0.677778,0.777778,0.807407,0.874074,0.0814815,0.87037
